Date,Open,High,Low,Close,Volume
07/20/2021,"140.97","142.47","140.78","141.87","6,340,100"
07/19/2021,"141.41","142.98","139.77","141.23","9,127,720"
07/16/2021,"141.70","142.13","140.95","141.56","6,031,805"
07/15/2021,"142.00","142.64","141.09","141.66","5,991,612"
07/14/2021,"140.71","141.80","139.83","141.55","6,270,671"
07/13/2021,"139.99","141.18","139.94","140.58","6,315,868"
07/12/2021,"140.69","140.79","139.33","140.05","6,504,976"
07/09/2021,"140.41","140.84","139.93","140.30","5,061,763"
07/08/2021,"138.34","140.65","138.22","139.59","7,089,047"
07/07/2021,"139.76","141.19","139.36","139.71","8,535,819"
07/06/2021,"139.90","140.75","139.52","139.94","6,093,058"
07/02/2021,"139.35","141.08","139.35","140.11","8,762,569"
07/01/2021,"140.41","141.25","139.01","139.32","8,782,850"
06/30/2021,"139.56","142.58","138.69","141.02","15,170,350"
06/29/2021,"137.90","138.47","137.23","137.30","11,987,490"
06/28/2021,"138.04","138.64","136.60","138.10","5,183,022"
06/25/2021,"137.13","138.86","136.92","138.53","9,546,936"
06/24/2021,"136.17","137.24","136.10","136.91","7,814,653"
06/23/2021,"136.50","136.99","135.93","135.96","6,463,517"
06/22/2021,"136.23","137.72","136.23","137.03","6,368,954"
06/21/2021,"135.66","136.75","135.35","136.40","6,925,023"
06/18/2021,"135.44","136.39","134.40","135.17","14,937,580"
06/17/2021,"137.00","138.35","136.71","137.72","6,447,279"
06/16/2021,"139.85","140.04","136.97","137.15","9,598,343"
06/15/2021,"140.84","140.91","139.66","140.00","6,442,392"
06/14/2021,"140.93","140.93","140.03","140.56","5,046,896"
06/11/2021,"140.23","140.85","139.86","140.75","8,410,824"
06/10/2021,"139.08","140.19","139.08","139.88","5,459,459"
06/09/2021,"139.34","140.01","139.03","139.08","5,695,127"
06/08/2021,"140.51","140.90","139.81","139.83","6,706,856"
06/07/2021,"141.85","141.97","140.39","140.90","5,543,628"
06/04/2021,"141.46","142.29","141.25","141.85","4,545,272"
06/03/2021,"141.39","141.85","140.75","141.60","6,124,824"
06/02/2021,"141.39","141.71","140.09","141.35","7,765,993"
06/01/2021,"142.21","142.80","141.27","141.66","6,922,542"
05/28/2021,"141.93","142.45","141.64","142.03","7,063,303"
05/27/2021,"143.35","143.68","141.69","141.69","18,858,971"
05/26/2021,"142.39","142.88","141.76","142.17","6,431,370"
05/25/2021,"141.80","142.64","141.07","142.34","7,168,364"
05/24/2021,"141.76","142.42","141.36","141.76","6,315,316"
05/21/2021,"142.52","143.08","141.60","141.75","7,642,485"
05/20/2021,"141.50","142.87","140.70","142.42","10,180,250"
05/19/2021,"140.71","143.72","140.50","141.92","11,624,920"
05/18/2021,"143.51","144.58","141.21","141.91","19,394,561"
05/17/2021,"140.00","140.40","138.77","138.89","6,491,176"
05/14/2021,"138.81","140.24","138.43","139.52","5,363,895"
05/13/2021,"136.23","138.98","135.76","138.24","7,160,053"
05/12/2021,"138.87","138.98","135.91","135.94","8,666,144"
05/11/2021,"140.87","140.87","138.32","139.55","8,821,379"
05/10/2021,"140.45","142.08","140.31","140.82","8,769,245"
05/07/2021,"141.63","141.72","139.32","140.20","7,802,805"
05/06/2021,"140.00","141.36","139.45","141.05","5,433,952"
05/05/2021,"140.71","141.20","140.25","140.60","6,116,973"
05/04/2021,"141.54","142.03","140.10","140.72","6,361,357"
05/03/2021,"139.68","142.74","139.68","142.12","9,046,535"
04/30/2021,"139.71","139.99","139.11","139.91","6,560,007"
04/29/2021,"137.90","140.00","137.90","139.63","6,531,986"
04/28/2021,"138.35","138.59","137.87","137.89","4,762,196"
04/27/2021,"138.00","138.95","137.55","138.38","5,383,813"
04/26/2021,"139.91","140.00","137.64","137.91","7,615,411"
04/23/2021,"139.10","140.34","139.03","139.90","7,661,332"
04/22/2021,"141.08","141.45","139.42","139.67","6,568,371"
04/21/2021,"140.77","141.70","140.53","141.20","5,778,363"
04/20/2021,"139.42","141.77","138.82","140.79","8,150,659"
04/19/2021,"140.29","140.57","139.61","139.71","6,426,991"
04/16/2021,"140.89","140.96","139.71","140.61","8,829,461"
04/15/2021,"139.40","140.47","139.20","140.16","7,236,777"
